ticker,year,start,end
ACES,2023,98,118
ACES,2022,78,91
ACES,2021,43,51
ACES,2020,32,39
ACES,2019,45,50
ADRO,2023,116,129
ADRO,2022,100,114
ADRO,2021,103,117
ADRO,2020,104,112
ADRO,2019,114,129
AKRA,2023,104,140
AKRA,2022,112,165
AKRA,2021,117,167
AKRA,2020,112,162
AKRA,2019,101,156
AMRT,2023,96,116
AMRT,2022,106,143
AMRT,2021,80,119
AMRT,2020,92,127
AMRT,2019,34,52
ANTM,2023,227,335
ANTM,2022,223,337
ANTM,2021,365,460
ANTM,2020,336,427
ANTM,2019,306,389
ARTO,2023,78,123
ARTO,2022,44,70
ARTO,2021,86,139
ARTO,2020,74,119
ARTO,2019,70,99
ASII,2023,138,380
ASII,2022,132,333
ASII,2021,124,325
ASII,2020,110,291
ASII,2019,112,289
BBCA,2023,118,283
BBCA,2022,118,311
BBCA,2021,118,304
BBCA,2020,118,289
BBCA,2019,116,297
BBNI,2023,198,374
BBNI,2022,121,235
BBNI,2021,206,412
BBNI,2020,166,353
BBNI,2019,176,365
BBRI,2023,186,399
BBRI,2022,202,429
BBRI,2021,202,413
BBRI,2020,205,475
BBRI,2019,168,382
BMRI,2023,259,509
BMRI,2022,252,519
BMRI,2021,244,469
BMRI,2020,214,507
BMRI,2019,182,389
BRPT,2023,96,122
BRPT,2022,94,119
BRPT,2021,104,129
BRPT,2020,94,119
BRPT,2019,114,135
CPIN,2023,31,48
CPIN,2022,32,48
CPIN,2021,31,51
CPIN,2020,29,45
CPIN,2019,29,43
GOTO,2023,140,201
GOTO,2022,144,207
GOTO,2021,118,161
GOTO,2020,,
GOTO,2019,,
ICBP,2023,35,41
ICBP,2022,35,45
ICBP,2021,35,45
ICBP,2020,35,47
ICBP,2019,35,47
INCO,2023,93,152
INCO,2022,88,139
INCO,2021,120,175
INCO,2020,108,164
INCO,2019,94,159
INDF,2023,32,37
INDF,2022,34,43
INDF,2021,37,45
INDF,2020,38,49
INDF,2019,34,43
INKP,2023,72,79
INKP,2022,68,77
INKP,2021,64,73
INKP,2020,51,57
INKP,2019,50,57
KLBF,2023,93,153
KLBF,2022,88,173
KLBF,2021,92,176
KLBF,2020,85,163
KLBF,2019,84,163
MAPI,2023,50,55
MAPI,2022,51,56
MAPI,2021,54,57
MAPI,2020,86,93
MAPI,2019,96,111
MBMA,2023,80,135
MBMA,2022,70,111
MBMA,2021,,
MBMA,2020,,
MBMA,2019,,
MDKA,2023,142,198
MDKA,2022,116,155
MDKA,2021,122,153
MDKA,2020,86,103
MDKA,2019,154,163
MEDC,2023,23,27
MEDC,2022,23,27
MEDC,2021,27,31
MEDC,2020,22,26
MEDC,2019,24,28
PGAS,2023,172,249
PGAS,2022,163,228
PGAS,2021,151,220
PGAS,2020,135,203
PGAS,2019,162,235
PGEO,2023,184,270
PGEO,2022,109,181
PGEO,2021,100,176
PGEO,2020,165,208
PGEO,2019,174,192
PTBA,2023,188,257
PTBA,2022,212,289
PTBA,2021,190,248
PTBA,2020,192,248
PTBA,2019,160,239
SMGR,2023,148,188
SMGR,2022,158,203
SMGR,2021,121,163
SMGR,2020,112,143
SMGR,2019,96,141
TLKM,2023,100,163
TLKM,2022,88,143
TLKM,2021,104,161
TLKM,2020,104,159
TLKM,2019,102,163
UNTR,2023,162,251
UNTR,2022,146,229
UNTR,2021,140,229
UNTR,2020,140,245
UNTR,2019,136,233
UNVR,2023,143,221
UNVR,2022,111,179
UNVR,2021,101,150
UNVR,2020,92,131
UNVR,2019,96,141
